"SPECIES_CODE","COMMON_NAME","SCIENTIFIC_NAME"
32,"CORALS-BRYOZOANS UNIDENTIFIED","ANTHOZOA, ECTOPROCTA"
861,"CORMORANT UNIDENTIFIED","PHALACROCORACIDAE SP"
16,"COUESI KING CRAB","LITHODES COUESI"
1,"CRAB UNIDENTIFIED","DECAPODA"
930,"CREPIDULA UNIDENTIFIED","CREPIDULA SPP"
1116,"CRESTED AUKLET","AETHIA CRISTATELLA"
291,"CRESTED MELAMPHID","POROMITRA CRASSICEPS"
409,"CRESTED SCULPIN","BLEPSIAS BILOBUS"
53,"CRINOIDS UNIDENTIFIED","CRINOIDEA"
981,"CROWNED HAIRY SNAIL","TRICHOTROPIS CORONATA"
510,"CRYSTALLICHTHYS UNIDENTIFIED","CYSTALLICHTHYS CYCLOSPILUS"
117,"CURLFIN SOLE","PLEURONICHTHYS DECURRENS"
248,"CUSK-EEL UNIDENTIFIED","OPHIDIIDAE"
660,"CUTLASSFISH UNIDENTIFIED","TRICHIURIDAE"
227,"CUTTHROAT TROUT","ONCORHYNCHUS CLARKII CLARKII"
679,"DAGGERTOOTHS","ANOTOPTERUS NIKPARINI"
969,"DALL'S TROPHON","BOREOTROPHON MURICIFORMIS"
311,"DARK BLOTCHED ROCKFISH","SEBASTES CRAMERI"
345,"DARK ROCKFISH","SEBASTES CILIATUS"
347,"DARK ROCKFISH UNIDENTIFIED","NON TAXANOMIC GROUPING"
855,"DARK SHEARWATER UNIDENTIFIED","PUFFINUS SPP"
395,"DARKFIN SCULPIN","MALACOCOTTUS ZONURUS"
753,"DAUBED SHANNY","LEPTOCLINUS MACULATUS"
757,"DECORATED WARBONNET","CHIROLOPHIS DECORATUS"
39,"DECORATOR CRAB","OREGONIA GRACILIS"
84,"DEEP SHRIMP","PANDALOPSIS ALEUTICA"
92,"DEEPSEA SKATE","BATHYRAJA ABYSSICOLA"
628,"DEEPSEA SMELT UNIDENTIFIED","BATHYLAGIDAE"
110,"DEEPSEA SOLE","EMBASSICHTHYS BATHYBIUS"
228,"DOLLY VARDEN","SALVELINUS MALMA"
1117,"DOVEKIE","ALLE ALLE"
107,"DOVER SOLE","MICROSTOMUS PACIFICUS"
459,"DRAGON POACHER","PERCIS JAPONICUS"
799,"DRAGONFISH UNIDENTIFIED","MELANOSTOMIINAE"
