"SPECIES_CODE","COMMON_NAME","SCIENTIFIC_NAME"
13,"RED KING CRAB","PARALITHODES CAMTSCHATICUS"
1147,"RED PHALAROPE","PHALAROPUS FULICARIUS"
833,"RED TREE CORAL","PRIMNOA WILLEYI"
1148,"RED-FACED CORMORANT","PHALACROCORAX URILE"
875,"RED-LEGGED KITTIWAKE","RISSA BREVIROSTRIS"
1149,"RED-NECKED STINT","CALIDRIS RUFICOLLIS"
324,"REDSTRIPE ROCKFISH","SEBASTES PRORIGER"
105,"REX SOLE","GLYPTOCEPHALUS ZACHIRUS"
842,"RHINOCEROS CRAB","RHINOLITHODES WOSNESSENSKII"
895,"RHINOCEROUS AUKLET","CERORHINCA MONCERATA"
408,"RIBBED SCULPIN","TRIGLOPS PINGELII"
507,"RIBBON SNAILFISH","LIPARIS CYCLOPUS"
563,"RIBBONFISH UNIDENTIFIED","TRACHIPTERIDAE"
1146,"RING-BILLED GULL","LARUS DELAWARENSIS"
508,"RINGTAIL SNAILFISH","LIPARIS RUTTERI"
51,"ROBUST CLUBHOOK SQUID","MOROTEUTHIS ROBUSTA"
393,"ROCK GREENLING","HEXAGRAMMOS LAGOCEPHALUS"
104,"ROCK SOLE UNIDENTIFIED","LEPIDOPSETTA SPP"
300,"ROCKFISH UNIDENTIFIED","SCORPAENIDAE"
240,"RONQUIL UNIDENTIFIED","BATHYMASTERIDAE"
309,"ROSETHORN ROCKFISH","SEBASTES HELVOMACULATUS"
312,"ROSY ROCKFISH","SEBASTES ROSACEUS"
960,"ROSY WHELK","COLUS ROSEUS"
778,"ROUGH POMFRET","TARACTES ASPER"
307,"ROUGHEYE ROCKFISH","SEBASTES ALEUTIANUS"
114,"ROUGHSCALE SOLE","CLIDODERMA ASPERRIMUM"
166,"ROUGHSHOULDER SKATE","AMBLYRAJA BADIA"
471,"ROUGHSPINE SCULPIN","TRIGLOPS MACELLUS"
89,"ROUGHTAIL SKATE","BATHYRAJA TRACHURA"
200,"ROUNDFISH UNIDENTIFIED","OSTEICHTHYES"
1152,"RUDDY TURNSTONE","ARENARIA INTERPRES"
1151,"RUSTIC BUNTING","EMBRERIZA RUSTICA"
1150,"RUSTY BLACKBIRD","EUPHAGUS CAROLINUS"
975,"RUSTY MOONSNAIL","NATICA RUSSA"
1153,"SABINE'S GULL","XEMA SABINI"
203,"SABLEFISH (BLACKCOD)","ANOPLOPOMA FIMBRIA"
208,"SAFFRON COD","ELEGINUS GRACILIS"
419,"SAILFIN SCULPIN","NAUTICHTHYS OCULOFASCIATUS"
148,"SAKHALIN SOLE","LIMANDA SAKHALINENSIS"
67,"SALMON SHARK","LAMNA DITROPIS"
220,"SALMON UNIDENTIFIED","ONCORHYNCHUS SPP"
670,"SAND LANCES","AMMODYTES HEXAPTERUS"
115,"SAND SOLE","PSETTICHTHYS MELANOSTICTUS"
136,"SANDDAB UNIDENTIFIED","BOTHIDAE"
239,"SANDFISHES","TRICHODON TRICHODON"
98,"SANDPAPER SKATE","BATHYRAJA INTERRUPTA"
453,"SAWBACK POACHER","LEPTAGONUS FRENATUS"
31,"SCALED CRAB","PLACETRON WOSNESSENSKII"
771,"SCALY WEARYFISH","SCOPELOSAURUS SP"
425,"SCISSORTAIL SCULPIN","TRIGLOPS FORFICATUS"
400,"SCULPIN UNIDENTIFIED","COTTIDAE"
55,"SEA ANEMONE UNIDENTIFIED","ACTINIARIA"
897,"SEA BIRDS UNIDENTIFIED","SEA BIRDS SP"
41,"SEA CUCUMBER UNIDENTIFIED","HOLOTHUROIDEA"
689,"SEA DEVIL UNIDENTIFIED","CERATIIDAE"
59,"SEA MOUSE","APHRODITA SP"
